id,tag_name,count,excerpt_post_id,wiki_post_id,tag_offset
47962,android-intent,30291,6075066,6075065,2
73524,android-activity,28448,8463593,8463592,1
67023,android-fragments,44657,6165075,6165074,4
76944,android-actionbar,8866,11208146,11208145,7
65279,android-asynctask,14534,7258889,7258888,9
1819,google-maps,64317,3625330,3610293,8
53233,android-layout,57757,5872749,5872748,0
1583,listview,51442,5160153,5160152,6
64956,android-edittext,11827,7258022,7258021,3
110097,android-recyclerview,27013,28581824,28581823,5